epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.4448,1.06135,2.12992,1.37944,0.77065,0.72112,0.79704,0.58948,0.8959,1.45487,1.27266,0.00198913,0.000663043,0.00198913,0.000663043,0.00198913,0.000663043,0.00198913,0.000663043
2,60.4091,0.84096,1.08801,1.20297,0.91138,0.79765,0.89528,0.68338,0.8015,1.05774,1.16132,0.00394964,0.00131655,0.00394964,0.00131655,0.00394964,0.00131655,0.00394964,0.00131655
3,85.4008,0.79716,0.88936,1.15725,0.87964,0.81353,0.89838,0.6945,0.80938,0.78441,1.18007,0.00587055,0.00195685,0.00587055,0.00195685,0.00587055,0.00195685,0.00587055,0.00195685
4,109.545,0.83732,0.81583,1.1825,0.85431,0.82508,0.90306,0.67826,0.81993,0.76153,1.17641,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,133.691,0.79698,0.73719,1.1576,0.89233,0.82059,0.90037,0.69036,0.79199,0.68761,1.14894,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,157.807,0.76585,0.67636,1.13985,0.89287,0.80693,0.90194,0.69646,0.79736,0.66334,1.14378,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,181.943,0.76859,0.655,1.13686,0.89956,0.82765,0.92068,0.72674,0.74583,0.61574,1.11179,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,206.08,0.76103,0.63503,1.13659,0.89687,0.83828,0.91614,0.70928,0.79349,0.62233,1.13624,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,230.357,0.76149,0.61833,1.12844,0.91726,0.82508,0.92244,0.72915,0.7781,0.58132,1.1384,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,254.479,0.73809,0.599,1.11342,0.92134,0.85046,0.92261,0.72362,0.77483,0.57804,1.13813,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,278.615,0.74048,0.58346,1.11859,0.89007,0.84983,0.9282,0.72739,0.78947,0.57539,1.15346,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,302.829,0.72258,0.57321,1.10746,0.91924,0.84527,0.92674,0.74613,0.72261,0.54937,1.09828,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,327,0.71706,0.55642,1.10076,0.91991,0.82838,0.92826,0.74259,0.74632,0.55263,1.11649,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,351.083,0.70813,0.54677,1.09468,0.91005,0.83993,0.92645,0.73729,0.73798,0.5656,1.09294,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,375.186,0.71275,0.55447,1.10541,0.889,0.85908,0.92463,0.73215,0.7595,0.59424,1.12306,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,399.332,0.70784,0.53797,1.09544,0.90007,0.84653,0.92437,0.73895,0.74272,0.55879,1.08751,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,423.414,0.6786,0.51141,1.08014,0.87689,0.89333,0.93909,0.75035,0.75487,0.51602,1.11683,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,447.467,0.70173,0.51705,1.09605,0.91044,0.83876,0.92176,0.73737,0.77653,0.55116,1.16061,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,471.639,0.66958,0.50373,1.0805,0.90447,0.84372,0.92791,0.73509,0.78223,0.5662,1.16026,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
