epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.11249,1.29919,3.86095,1.48031,0.00287,0.7561,0.01284,0.00411,0.97396,3.55295,1.36796,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
2,7.31729,0.80731,3.30725,1.08568,0.00361,0.95122,0.34568,0.2734,0.50255,3.00815,0.93001,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307,0.00207921,0.00069307
3,10.3514,0.61664,2.63342,0.92548,0.04755,0.95122,0.90545,0.77913,0.43325,2.56909,0.8702,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
4,12.9938,0.56593,1.75335,0.90278,0.98339,0.92683,0.95642,0.84773,0.40861,1.63474,0.86439,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783,0.00413348,0.00137783
5,15.5725,0.54012,1.39965,0.88503,1,0.92244,0.95131,0.8424,0.39991,1.32945,0.86427,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951,0.00512854,0.00170951
6,18.1115,0.50832,1.16843,0.855,1,0.94843,0.97047,0.8416,0.50125,1.26567,0.89111,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,20.5641,0.55389,1.09972,0.87566,1,0.92345,0.96345,0.83044,0.4583,1.24134,0.87851,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,23.0997,0.5277,1.00677,0.87014,1,0.97441,0.97523,0.84244,0.458,1.04093,0.87043,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,25.5729,0.50819,0.95424,0.8442,0.99485,0.97561,0.97515,0.83901,0.5066,0.94949,0.89746,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,28.1121,0.48774,0.88272,0.86437,1,0.95012,0.97293,0.86372,0.43972,0.82093,0.88927,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,30.6046,0.4931,0.80309,0.85239,0.9981,0.92683,0.95843,0.82873,0.45831,0.73155,0.89774,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,33.1513,0.46863,0.74355,0.84455,1,0.95002,0.97559,0.85703,0.47434,0.62321,0.86922,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,35.7287,0.46286,0.69195,0.84542,0.99194,0.92683,0.97674,0.88952,0.41711,0.55569,0.84866,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,38.3804,0.46292,0.69563,0.85305,1,0.94953,0.9648,0.85533,0.40936,0.53361,0.86175,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,40.8259,0.45279,0.67633,0.85605,1,0.95117,0.98212,0.88669,0.44148,0.51615,0.88397,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,43.3645,0.45661,0.62064,0.85273,0.99784,0.92683,0.96727,0.87789,0.39631,0.51724,0.87612,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,45.8125,0.45438,0.62447,0.84968,1,0.94807,0.96849,0.86217,0.44077,0.49194,0.88115,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
