epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.85376,0.84602,3.50306,1.09695,0.0027,0.72289,0.03275,0.02647,0.58289,3.47294,0.96152,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,8.09427,0.66578,3.07598,0.99864,0.00342,0.91566,0.21381,0.19634,0.52734,3.3128,0.87572,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466
3,11.1006,0.64595,2.52773,0.97707,0.90276,0.33563,0.38111,0.3479,0.49599,3.06029,0.84014,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
4,13.7832,0.59649,1.73065,0.92809,0.93651,0.3494,0.47225,0.42593,0.53232,2.69487,0.83248,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002
5,16.4698,0.59196,1.39573,0.91461,0.88857,0.68675,0.83952,0.73012,0.5285,2.1618,0.82687,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347
6,18.9233,0.59345,1.1954,0.90679,0.96613,0.84337,0.93874,0.81597,0.52062,1.68966,0.8341,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,21.4206,0.58175,1.08068,0.92405,0.95577,0.92771,0.95062,0.8111,0.54763,1.47853,0.84617,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,23.9815,0.58454,1.00475,0.89645,0.98699,0.9143,0.96507,0.81536,0.55434,1.14779,0.86211,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,26.4384,0.58164,0.94711,0.90651,0.97427,0.91228,0.96261,0.81427,0.54352,0.96896,0.86064,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,28.899,0.55412,0.84655,0.89464,0.96027,0.93976,0.96878,0.82446,0.52197,0.8242,0.85348,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,31.3815,0.50435,0.77064,0.88061,0.9502,0.95181,0.97029,0.82791,0.52512,0.69835,0.85156,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,33.9461,0.53966,0.76163,0.87309,0.95172,0.95005,0.96881,0.82185,0.53503,0.62216,0.8519,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,36.3871,0.5329,0.75289,0.88025,0.93922,0.96386,0.97047,0.81351,0.54924,0.59782,0.85555,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,38.8326,0.52798,0.71217,0.88787,0.93773,0.96386,0.97254,0.81688,0.52982,0.58195,0.85354,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,41.2719,0.51689,0.70588,0.88251,0.95809,0.93976,0.97529,0.79428,0.56247,0.55473,0.85722,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,43.8685,0.5661,0.65139,0.88518,0.95179,0.95139,0.97673,0.81739,0.55634,0.54685,0.85827,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,46.3021,0.54013,0.61953,0.88552,0.95232,0.96251,0.97725,0.81515,0.55271,0.52846,0.85918,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,48.7481,0.51179,0.58134,0.88951,0.95227,0.96151,0.97816,0.83234,0.54951,0.51868,0.85872,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,51.2109,0.49329,0.56108,0.86935,0.93966,0.9382,0.96407,0.82005,0.5397,0.53331,0.8636,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,53.7433,0.51538,0.5744,0.89227,0.9266,0.93976,0.94791,0.77837,0.5863,0.52912,0.88504,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,56.1646,0.53661,0.55053,0.88475,0.92855,0.93943,0.93345,0.77151,0.54508,0.52735,0.8602,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,58.6487,0.5337,0.53863,0.88011,0.91638,0.92423,0.93295,0.79108,0.55328,0.55458,0.8619,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,61.0821,0.52512,0.55311,0.89045,0.94152,0.91566,0.9447,0.79318,0.55707,0.52177,0.86515,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,63.6009,0.5127,0.52451,0.87258,0.96031,0.93976,0.9679,0.82227,0.52382,0.467,0.85323,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,66.0395,0.51216,0.50652,0.88444,0.95178,0.9512,0.96656,0.82436,0.51806,0.45783,0.85887,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,68.4753,0.46714,0.48681,0.85552,0.95003,0.93976,0.97508,0.82279,0.51426,0.45537,0.84943,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,70.915,0.47716,0.4697,0.87754,0.94035,0.94976,0.97405,0.81862,0.5177,0.45605,0.85453,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,73.4584,0.48389,0.49801,0.86138,0.94901,0.93976,0.97118,0.81862,0.51197,0.4464,0.84362,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,75.9034,0.48231,0.48601,0.87316,0.94968,0.93976,0.96937,0.79886,0.52186,0.44367,0.84725,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,78.3366,0.48105,0.47462,0.86966,0.95054,0.95181,0.96937,0.81058,0.52257,0.41779,0.85845,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,80.7798,0.463,0.48284,0.8536,0.93746,0.95181,0.97059,0.80524,0.53612,0.40922,0.85912,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,83.3132,0.48633,0.47919,0.87569,0.94019,0.94696,0.97384,0.81854,0.51608,0.40542,0.85231,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,85.8339,0.47545,0.44223,0.86762,0.94632,0.93976,0.96636,0.81484,0.50528,0.40609,0.84568,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,88.3446,0.46247,0.4393,0.87664,0.95121,0.93957,0.97054,0.81905,0.50942,0.40644,0.84348,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,90.8116,0.43749,0.41429,0.87442,0.91942,0.96228,0.973,0.82877,0.5056,0.42136,0.84396,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,93.3456,0.45715,0.43222,0.87,0.93999,0.95181,0.97788,0.81741,0.5257,0.38993,0.84911,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,95.8727,0.48159,0.42387,0.85828,0.93959,0.96386,0.98413,0.81942,0.51191,0.38526,0.84601,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,98.3008,0.45665,0.40502,0.88078,0.95698,0.93976,0.96896,0.79665,0.5232,0.38898,0.85123,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,100.759,0.42628,0.41283,0.84967,0.96024,0.93976,0.97001,0.80337,0.51892,0.38876,0.84912,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,103.292,0.47379,0.40116,0.86741,0.93991,0.96386,0.9763,0.8261,0.50045,0.36308,0.84381,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,105.742,0.47583,0.41442,0.88158,0.95001,0.95181,0.9698,0.82297,0.48637,0.35917,0.83966,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,108.175,0.43452,0.40209,0.86681,0.94895,0.95181,0.97686,0.82996,0.48468,0.36454,0.83771,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,110.609,0.43454,0.38592,0.86062,0.93658,0.95181,0.97599,0.82829,0.49386,0.37074,0.84386,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,113.139,0.44442,0.39689,0.86422,0.9603,0.93976,0.97904,0.8127,0.4909,0.34927,0.83931,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,115.563,0.47298,0.38352,0.87051,0.96027,0.93976,0.97976,0.81395,0.51354,0.35109,0.84718,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,117.999,0.4245,0.37201,0.8519,0.93999,0.94361,0.97514,0.82296,0.49051,0.34735,0.84163,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,120.431,0.47636,0.42206,0.91979,0.93886,0.95181,0.9746,0.82314,0.50164,0.35895,0.83998,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,122.955,0.41444,0.37485,0.86913,0.95172,0.95003,0.97153,0.81862,0.50031,0.35884,0.83989,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,125.397,0.38586,0.34726,0.84359,0.94993,0.93976,0.9642,0.80093,0.50955,0.36619,0.843,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,127.885,0.4541,0.37487,0.86529,0.94915,0.93976,0.973,0.82315,0.4926,0.35872,0.83838,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,130.358,0.40776,0.36082,0.85739,0.96898,0.93976,0.97535,0.81722,0.50636,0.35937,0.83874,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,132.951,0.42873,0.37212,0.88457,0.95178,0.95131,0.97405,0.8141,0.48975,0.34209,0.83406,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,135.483,0.42915,0.3799,0.85945,0.96287,0.93732,0.9727,0.82397,0.47737,0.3323,0.83049,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,137.971,0.42861,0.3586,0.86822,0.96861,0.93976,0.97583,0.82117,0.48866,0.34015,0.8354,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,140.46,0.39985,0.34623,0.84823,0.975,0.93975,0.97584,0.83786,0.48593,0.34882,0.83617,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,143.044,0.39011,0.33489,0.84807,0.96269,0.93265,0.96702,0.83955,0.45402,0.34329,0.82283,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,145.522,0.44267,0.36313,0.86442,0.95089,0.95181,0.96879,0.83022,0.46834,0.34151,0.82604,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,147.996,0.39059,0.33949,0.84615,0.95193,0.96386,0.97094,0.81947,0.48212,0.34638,0.83524,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,150.48,0.39394,0.33923,0.84945,0.95236,0.96339,0.97782,0.83542,0.48753,0.34209,0.83249,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,153.145,0.4126,0.33314,0.84308,0.95176,0.96386,0.98076,0.84543,0.47449,0.34579,0.82982,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,155.653,0.42755,0.34112,0.86953,0.95224,0.96386,0.97963,0.8342,0.48746,0.32689,0.83283,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,158.146,0.40499,0.33088,0.85792,0.93909,0.96386,0.97579,0.82497,0.48808,0.32042,0.83407,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,160.627,0.39182,0.32625,0.85652,0.95228,0.96169,0.97653,0.8231,0.47173,0.31374,0.83169,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,163.241,0.36015,0.30761,0.84295,0.94098,0.96386,0.97974,0.84306,0.44637,0.31101,0.83084,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,165.778,0.37676,0.3059,0.84275,0.97497,0.93871,0.97371,0.84273,0.45356,0.31506,0.83336,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,168.28,0.40167,0.32813,0.84772,0.94107,0.96202,0.97428,0.82988,0.46081,0.3103,0.84122,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,170.738,0.39857,0.32546,0.86457,0.9492,0.95181,0.97456,0.82039,0.46734,0.31319,0.84873,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,173.309,0.36107,0.30299,0.8431,0.95064,0.95181,0.97409,0.81996,0.48535,0.31699,0.84783,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,175.776,0.36509,0.30612,0.85905,0.95163,0.94814,0.97372,0.82678,0.48879,0.32218,0.84819,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,178.23,0.36273,0.30456,0.84665,0.94855,0.95181,0.97458,0.82861,0.4733,0.32347,0.8447,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,180.722,0.38,0.30691,0.84443,0.95057,0.95181,0.96378,0.82243,0.47816,0.32693,0.84659,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,183.296,0.37802,0.3038,0.8692,0.94984,0.95181,0.95974,0.81929,0.48276,0.31823,0.85149,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,185.755,0.38043,0.31892,0.85267,0.94966,0.95181,0.96781,0.81929,0.48609,0.31763,0.84838,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,188.212,0.37352,0.30932,0.84573,0.9505,0.95181,0.96995,0.81829,0.47602,0.31443,0.84526,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,190.679,0.36548,0.29049,0.84457,0.95048,0.95181,0.97172,0.83006,0.47324,0.31201,0.84209,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,193.242,0.36881,0.30575,0.83776,0.95096,0.95181,0.97151,0.83143,0.47892,0.3151,0.84153,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,195.697,0.38134,0.30355,0.86007,0.95083,0.95181,0.97268,0.83657,0.47087,0.31355,0.84013,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,198.195,0.37986,0.30855,0.83685,0.95079,0.95181,0.97237,0.84043,0.46418,0.30955,0.83533,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,200.66,0.38093,0.31846,0.86772,0.95073,0.95181,0.97365,0.83394,0.47758,0.31283,0.8415,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
